ID    RISK     STATUS     CVSS-VECTOR                                   CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------     -----------                                   ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
5716  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_524]                  [MSTG_2_5]                    []                               [MASVS_1_2]            [M6_2024 M9_2024]  []       [164_312_c_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.422672 +0000 UTC  122
5717  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_338]                  [MSTG_3_6]                    []                               [MASVS_2_1]            [M10_2024]         []       [164_312_c_1]              [gdpr_32 gdpr_25]  2025-11-14 12:37:22.449955 +0000 UTC  127
5718  Passed   Completed                                                0          3             []     []                                  [CWE_926]                  [MSTG_6_2]                    []                               [MASVS_6_1]            [M4_2024]          []       [164_312_c_1]              [gdpr_25]          2025-11-14 12:37:40.336899 +0000 UTC  128
5719  Unknown  Waiting                                                  -1         3             []     [ASVS_1_4_4 ASVS_1_8_2]             [CWE_284 CWE_541 CWE_532]  [MSTG_8_2]                    []                               [MASVS_7_1]            [M6_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.503224 +0000 UTC  131
5720  Unknown  Waiting                                                  -1         3             []     [ASVS_1_4_4 ASVS_1_8_2]             [CWE_284 CWE_541 CWE_532]  [MSTG_8_2]                    []                               [MASVS_7_1]            [M6_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.526907 +0000 UTC  132
5721  Low      Completed  CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:L/I:L/A:N  3.9        3             []     [ASVS_1_8_1 ASVS_1_8_2]             [CWE_693]                  []                            []                               [MASVS_7_2]            [M6_2024]          []       [164_308_a_4 164_312_c_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:53.728542 +0000 UTC  133
5722  Unknown  Waiting                                                  -1         3             []     [ASVS_5_1_3]                        [CWE_345]                  []                            [API2_2023]                      []                     []                 []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.581401 +0000 UTC  134
5723  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_863 CWE_285]          []                            [API8_2023]                      []                     []                 []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.605934 +0000 UTC  135
5724  Unknown  Waiting                                                  -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:22.630941 +0000 UTC  136
5725  Unknown  Waiting                                                  -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:22.668871 +0000 UTC  137
